simulation_id,Expected_Rew,Expected_WU,PCronograma,PGestor,Variacao_Capacidade_Base_Pct,conjunto,progresso_final_pct,concluiu_ate_60,tempo_conclusao_tu,deficit_final_pp
0,4.79307747,6.84779739,4.91393423,29.6101131,21.1261635,treino,100,1,43,0
100,11.2290907,15.2400112,0.684327543,29.2956619,28.7123432,teste,100,1,44,0
200,4.80622578,5.43843174,28.82127,10.45648,9.91074467,validacao,100,1,43,0
300,28.027174,15.280879,18.9964409,7.4782815,-5.04078627,treino,96.1289291,0,,3.87107086
400,17.0846634,24.6776619,18.2087364,13.6418009,14.9624605,treino,100,1,48,0
500,20.0795059,4.87355995,3.25544333,1.14416039,9.75710773,treino,100,1,54,0
600,21.4943638,9.0897789,11.2638798,24.1907463,29.6654072,treino,100,1,44,0
700,20.7359886,4.89172888,7.72018147,29.5060406,-14.3273659,teste,100,1,53,0
800,10.3540964,28.0110817,12.0252991,0.56384176,-13.377018,treino,90.4819717,0,,9.51802826
900,0.447163343,1.8808763,18.9735947,5.39466476,-5.40926266,validacao,100,1,45,0
1000,5.1379981,1.11192024,1.7777586,25.0660267,-3.39251208,treino,100,1,44,0
1100,1.55713797,28.8948326,2.60951495,17.8218708,12.6214409,teste,100,1,45,0
1200,9.38862419,29.7116413,26.9766426,25.7784386,-8.04243851,teste,100,1,48,0
1300,10.6104994,25.6217613,12.2871532,22.0369778,12.9108696,treino,100,1,45,0
1400,6.60918188,3.03505111,7.96645355,9.04605007,-14.2787018,treino,100,1,51,0
1500,3.23422122,15.8970537,18.6158867,7.49469519,12.4178858,treino,100,1,44,0
1600,24.9706764,8.06148338,21.5557919,26.8054085,-19.8865452,treino,100,1,57,0
1700,4.24613285,6.16300392,3.87703323,9.58098888,1.27469409,treino,100,1,45,0
1800,14.8356609,19.977562,6.68784046,10.6668215,7.53398752,treino,100,1,53,0
1900,1.44659901,28.5539513,28.9538364,25.3159428,1.41517091,treino,100,1,44,0
2000,25.303421,26.4184151,24.6129684,0.0709981471,-17.155283,treino,83.2057266,0,,16.7942734
2100,11.5728054,19.7622528,23.3332863,23.0378036,2.39471269,treino,100,1,45,0
2200,4.38940239,19.7819691,3.60439134,14.905407,-11.5782137,treino,100,1,55,0
2300,16.9478226,26.4777565,20.2701225,11.889761,13.2188702,treino,100,1,49,0
2400,12.5313597,19.8502522,20.9983501,27.8793068,13.5838289,treino,100,1,44,0
2500,6.51998425,5.52304268,2.53885984,5.12670708,-5.17224312,validacao,100,1,52,0
2600,25.6148376,25.8236446,17.2479401,0.9514395,13.3182631,treino,97.6734314,0,,2.3265686
2700,0.660559595,28.9589977,19.8353539,20.6239262,8.52574539,treino,100,1,45,0
2800,25.5224457,4.71937561,27.6153755,4.23681307,23.6415997,treino,100,1,45,0
2900,11.5165424,1.84486592,21.0175514,19.2695217,29.6277275,treino,100,1,43,0
3000,4.63470078,5.99681616,16.5537167,2.35584116,-4.52861929,treino,100,1,47,0
3100,18.697401,29.3215942,0.0432155021,18.924675,26.0489655,treino,100,1,49,0
3200,22.7276192,0.47238493,9.39571095,24.8124561,21.0527267,treino,100,1,44,0
3300,7.45519686,5.90389061,1.25539339,10.439292,-19.3161297,teste,100,1,60,0
3400,26.853466,20.5152245,23.4145737,6.89951754,-5.5661087,teste,94.9476624,0,,5.05233765
3500,2.61635828,11.1843462,25.2704906,28.0983276,-9.61726856,validacao,100,1,44,0
3600,12.4902935,5.08106136,2.56978607,24.202734,19.7579021,treino,100,1,44,0
3700,5.82283735,21.0744228,14.5212698,9.7311697,-3.4969337,treino,100,1,50,0
3800,25.7163582,12.6138973,6.5148387,24.755291,-1.72484994,treino,100,1,55,0
3900,19.8140678,9.83597374,5.37730789,17.2766457,7.52211475,treino,100,1,49,0
4000,2.88090706,23.2695351,9.18645382,12.2535496,18.9924183,treino,100,1,45,0
4100,15.5737972,23.2024593,23.4609814,26.3731976,-7.74316931,treino,100,1,49,0
4200,12.2174301,11.6215906,16.5341587,29.0773392,26.6188278,treino,100,1,43,0
4300,27.0401173,21.797184,21.6696854,6.12000799,-7.41815996,teste,90.2412949,0,,9.75870514
4400,24.3506565,8.41748905,17.9811687,21.7709217,-19.2951508,treino,100,1,60,0
4500,7.97616816,12.8449678,21.4769211,8.6873703,3.98572302,treino,100,1,45,0
4600,7.1829052,17.6657848,28.8704472,1.44092214,-16.29846,treino,100,1,54,0
4700,18.9688568,8.04291153,18.9470615,5.42297268,-4.96514082,treino,100,1,54,0
4800,7.81537104,10.8937511,4.54501724,23.9340839,-10.343112,treino,100,1,49,0
4900,2.95309925,14.3930178,6.03327894,8.90270996,25.0072994,treino,100,1,44,0
5000,4.90008163,6.99205828,14.765275,14.8413944,-12.8596048,teste,100,1,47,0
5100,2.28735352,26.750927,13.8538342,20.3846416,8.77475643,validacao,100,1,45,0
5200,7.03790283,14.041131,26.7254314,12.9775248,16.598835,teste,100,1,44,0
5300,8.60605145,7.36630821,16.0707607,9.92154217,-10.5241728,teste,100,1,49,0
5400,27.3457661,22.9066696,1.79235029,23.0463829,-10.1855125,treino,88.5447845,0,,11.4552155
5500,14.3852148,18.2402058,6.69442558,19.8927021,-6.88708353,teste,100,1,55,0
5600,25.1804485,8.69052029,4.30253792,28.9099884,2.91075349,treino,100,1,49,0
5700,3.08758521,26.7042103,19.2109795,29.4134426,28.385767,treino,100,1,43,0
5800,24.1124496,24.200079,3.2199862,9.3699131,-6.66619396,treino,87.0950089,0,,12.9049911
5900,1.84292984,12.7908955,0.295893103,4.78963947,25.9073696,treino,100,1,44,0
6000,0.709767699,1.81248307,21.6339245,26.2718201,17.2025318,treino,100,1,43,0
6100,8.66456699,26.0745068,25.0875282,19.4480877,19.1507721,treino,100,1,44,0
6200,18.7991676,26.3578053,12.8214455,0.15420644,-0.624912083,teste,91.5549164,0,,8.44508362
6300,23.3889503,24.7333069,9.86233234,1.21192849,10.6873322,treino,96.1732025,0,,3.82679749
6400,11.0442667,20.1259232,11.6022749,23.8110008,-5.56189775,treino,100,1,49,0
6500,0.846003115,18.3903351,22.4251556,13.3029423,-15.1837053,treino,100,1,48,0
6600,26.6547661,21.6665573,3.57688999,29.4641056,-16.6451931,treino,89.7468567,0,,10.2531433
6700,8.44662571,23.6122322,21.9285564,24.0417042,-16.2434425,validacao,100,1,51,0
6800,16.2554836,13.6087465,2.38934255,5.15144825,-17.5172977,treino,87.0099411,0,,12.9900589
6900,3.81673527,22.6620369,20.1081772,22.8087921,25.1281071,teste,100,1,43,0
7000,21.2912102,17.8120155,24.6242676,29.5404415,22.869936,validacao,100,1,44,0
7100,1.36006653,27.2475872,14.7187586,27.361536,-16.721365,treino,100,1,50,0
7200,27.2391033,25.5474701,11.7607317,13.1802521,21.3247604,treino,100,1,54,0
7300,19.9468822,25.373333,9.56603813,11.5778494,20.759306,validacao,100,1,51,0
7400,14.1764641,18.6945992,27.15485,29.7341557,8.8237505,validacao,100,1,44,0
7500,14.0230532,14.9955864,26.1751728,0.580148697,-1.3741715,validacao,100,1,51,0
7600,2.96225429,12.3036718,28.1289787,17.048069,-6.88278961,validacao,100,1,44,0
7700,5.34221745,4.86702013,10.4907789,11.9014921,-18.1967907,treino,100,1,51,0
7800,28.4971008,22.744648,11.3028212,22.3737698,2.46057844,treino,100,1,60,0
7900,0.836632729,9.23389721,12.1953602,9.80505562,24.6657581,treino,100,1,43,0
8000,15.8503513,28.8967075,13.0665836,23.3054523,-12.5186758,teste,100,1,60,0
